Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R606,10k,R_0402_1005Metric,103.76,-85.88,0.0,top
R607,10k,R_0402_1005Metric,100.08,-84.265001,-90.0,top
R608,1k,R_0402_1005Metric,101.125,-84.265,90.0,top
R609,499R,R_0402_1005Metric,101.125,-82.275,90.0,top
R610,10k,R_0402_1005Metric,108.765001,-84.310001,-90.0,top
R611,1k,R_0402_1005Metric,109.770001,-84.305,90.0,top
R612,499R,R_0402_1005Metric,109.77,-82.37,90.0,top
R613,10k,R_0402_1005Metric,94.685,-84.265,-90.0,top
R614,1k,R_0402_1005Metric,95.71,-84.265,90.0,top
R615,499R,R_0402_1005Metric,95.71,-82.33,90.0,top
R616,10k,R_0402_1005Metric,103.27,-84.310001,-90.0,top
R617,1k,R_0402_1005Metric,104.300001,-84.31,90.0,top
R618,499R,R_0402_1005Metric,104.300001,-82.365001,90.0,top
R619,10k,R_0402_1005Metric,98.37,-82.78,0.0,top
R620,10k,R_0402_1005Metric,107.06,-82.77,0.0,top
R621,0R,R_2512_6332Metric,44.408529,-67.69,-90.0,top
R622,0R,R_2512_6332Metric,55.268529,-67.69,-90.0,top
R801,10k,R_0402_1005Metric,36.53,-97.979999,0.0,top
SW101,SW_Push,SW_RS-032G05A3-SMRT,68.62,-117.02,0.0,top
SW102,SW_Push,SW_RS-032G05A3-SMRT,68.63,-112.75,0.0,top
U101,ESP32-S3R2,QFN-56,57.08,-104.2,135.0,top
U102,W25Q128JVS,SOIC-8W_5.3x5.3mm_P1.27mm,47.208163,-98.457086,0.0,top
U301,TO252-5_ROM,BD33C0AWFP-CE2,103.57,-66.395,180.0,top
U401,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,93.02,-68.32,0.0,top
U501,SX1231HIMLTRT,QFN-24-1EP_5x5mm_P0.65mm_EP3.4x3.4mm_ThermalVias,80.845,-106.89,-90.0,top
U502,PE42421SCAA-Z,SOT-363_SC-70-6,95.095,-106.02,0.0,top
U601,INA2181A1IDGST,VSSOP-10_3x3mm_P0.5mm,49.868528,-62.27,0.0,top
Y101,40MHZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,52.05,-114.69,135.0,top
Y501,32mhz,Crystal_SMD_2520-4Pin_2.5x2.0mm,80.035,-99.519999,90.0,top
